Organization_ID,Industry,Company_Size,Employee_Count,AI_Tool,Adoption_Year,Monthly_AI_Users,Productivity_Gain,Satisfaction_Score,AI_Investment,Cost_Savings,Adoption_Level
1001,Healthcare,Large,2130,Claude,2024,497,12.5,8.0,241479.93,289777.55,High
1002,Education,Small,137,Midjourney,2023,21,14.6,7.5,18149.16,25451.68,Low
1003,Healthcare,Medium,931,ChatGPT,2025,158,12.3,8.5,110087.21,196864.73,Medium
1004,Finance,Large,1646,ChatGPT,2022,633,34.1,9.2,181819.43,212432.45,High
1005,Education,Medium,704,Gemini,2025,107,19.8,7.1,109497.44,153034.62,Medium
1006,IT,Medium,726,Power BI AI,2024,277,32.4,8.5,125008.07,145252.47,High
1007,IT,Small,89,Midjourney,2024,23,24.7,9.7,12522.6,16194.22,Low
1008,Healthcare,Small,138,Power BI AI,2024,22,10.1,9.2,20794.63,33485.7,Low
1009,Retail,Small,90,Power BI AI,2025,21,12.4,7.7,13219.57,20703.77,Low
1010,Finance,Small,84,GitHub Copilot,2022,26,29.0,8.4,13196.12,19077.06,Low
1011,Finance,Medium,803,GitHub Copilot,2023,296,21.9,8.4,120089.94,143811.55,High
1012,Education,Medium,790,ChatGPT,2022,147,14.0,9.6,127041.51,196073.66,Medium
1013,Manufacturing,Large,4627,GitHub Copilot,2025,912,13.1,7.7,789749.52,1019165.89,High
1014,Education,Small,52,ChatGPT,2024,11,15.6,6.9,5915.6,10411.67,Low
1015,Healthcare,Medium,482,GitHub Copilot,2022,84,16.2,8.8,72891.44,87736.57,Medium
1016,Manufacturing,Small,51,GitHub Copilot,2022,9,32.7,7.3,4818.96,6951.91,Low
1017,Manufacturing,Small,117,ChatGPT,2023,20,30.1,8.1,20866.05,28777.98,Low
1018,Retail,Large,4272,ChatGPT,2023,479,24.8,8.7,348846.32,508780.2,High
1019,IT,Medium,738,Gemini,2023,281,13.4,7.6,67414.35,117792.12,High
1020,Manufacturing,Small,193,Midjourney,2024,49,16.0,6.8,32756.26,56677.92,Low
1021,Education,Small,148,Claude,2025,52,20.1,9.4,24433.74,42879.86,Medium
1022,Retail,Medium,503,ChatGPT,2022,150,10.1,7.0,67841.31,107482.79,Medium
1023,Education,Small,210,ChatGPT,2024,32,19.2,9.0,31939.74,42021.28,Low
1024,Finance,Medium,719,ChatGPT,2023,281,19.8,9.4,102898.87,170438.39,High
1025,Finance,Medium,730,ChatGPT,2024,134,10.6,8.6,71329.08,125419.42,Medium
1026,Manufacturing,Large,3146,Claude,2025,626,23.8,8.4,560092.32,645642.15,High
1027,Healthcare,Small,210,ChatGPT,2023,56,33.4,8.8,28771.28,33605.53,Medium
1028,Education,Large,4009,ChatGPT,2023,788,31.2,7.0,604922.42,899503.9,High
1029,Healthcare,Medium,657,Power BI AI,2024,164,30.0,8.6,98679.22,163516.88,Medium
1030,Manufacturing,Small,141,Gemini,2023,42,18.2,7.0,25123.96,42390.49,Low
1031,Manufacturing,Small,219,Midjourney,2023,30,23.1,9.0,22246.48,34171.11,Low
1032,IT,Small,165,GitHub Copilot,2024,23,13.3,9.7,24990.82,28208.32,Low
1033,Healthcare,Medium,307,ChatGPT,2022,119,30.9,8.8,37114.86,45328.6,Medium
1034,IT,Small,175,ChatGPT,2023,66,26.0,8.2,25499.45,35825.99,Medium
1035,Retail,Small,203,GitHub Copilot,2024,21,12.9,6.7,17066.79,28993.45,Low
1036,Retail,Medium,467,Claude,2025,95,21.6,8.6,39604.35,69877.99,Medium
1037,Manufacturing,Small,187,Gemini,2024,66,26.5,7.0,16279.64,25228.45,Medium
1038,IT,Medium,724,Midjourney,2024,196,13.2,9.2,117334.3,180478.67,Medium
1039,Retail,Medium,292,ChatGPT,2022,38,10.5,6.8,43303.8,49792.1,Low
1040,Healthcare,Large,2625,ChatGPT,2023,653,27.3,7.6,455870.14,513961.87,High
1041,Finance,Large,1675,ChatGPT,2024,572,34.8,7.9,196313.03,322638.32,High
1042,Healthcare,Large,1036,ChatGPT,2024,333,16.0,7.7,138236.33,200109.92,High
1043,Healthcare,Small,68,GitHub Copilot,2022,25,12.3,7.6,11900.42,21009.3,Low
1044,Finance,Medium,318,ChatGPT,2023,95,28.8,9.1,50549.86,58832.17,Medium
1045,Finance,Small,171,GitHub Copilot,2025,35,12.9,7.0,26701.83,40927.3,Low
1046,IT,Small,190,ChatGPT,2023,69,13.7,8.2,19631.33,29582.72,Medium
1047,Manufacturing,Large,2680,Power BI AI,2025,873,19.4,6.8,422675.37,630159.51,High
1048,Finance,Large,1038,GitHub Copilot,2023,229,24.3,8.9,162674.83,272635.41,High
1049,Retail,Medium,597,Power BI AI,2023,110,31.7,7.2,105264.39,116686.43,Medium
1050,Manufacturing,Small,198,ChatGPT,2025,74,16.3,8.8,17333.6,21083.74,Medium
1051,IT,Small,50,Gemini,2024,18,11.1,7.4,8752.06,15081.42,Low
1052,Finance,Medium,257,ChatGPT,2024,55,15.7,7.4,29820.87,38229.31,Medium
1053,Finance,Small,210,GitHub Copilot,2024,38,13.3,6.8,36551.17,50866.34,Low
1054,Finance,Large,1009,Power BI AI,2025,114,10.7,7.7,162504.83,291061.31,Medium
1055,IT,Medium,312,GitHub Copilot,2025,84,11.6,6.6,29136.19,32328.65,Medium
1056,IT,Medium,958,Power BI AI,2025,255,29.2,9.6,158036.22,201202.81,High
1057,Finance,Small,100,ChatGPT,2023,36,28.9,6.7,10686.72,11921.35,Low
1058,Finance,Medium,555,Midjourney,2024,148,31.9,7.8,51837.85,58066.06,Medium
1059,Retail,Medium,827,Midjourney,2025,235,34.5,8.5,118810.49,176834.08,High
1060,IT,Medium,498,GitHub Copilot,2024,109,25.6,9.3,87126.13,104808.5,Medium
1061,Manufacturing,Medium,757,ChatGPT,2022,216,18.7,7.2,104439.5,139854.33,High
1062,Finance,Medium,344,GitHub Copilot,2024,52,27.4,7.9,57596.53,84129.25,Medium
1063,Manufacturing,Medium,300,ChatGPT,2023,55,14.4,6.8,27619.08,39289.39,Medium
1064,IT,Medium,327,ChatGPT,2023,41,22.0,8.8,42891.18,51893.37,Low
1065,Healthcare,Small,85,Midjourney,2024,13,15.2,7.7,10918.45,16735.56,Low
1066,Healthcare,Medium,614,ChatGPT,2022,85,27.2,9.3,95146.44,106690.61,Medium
1067,Manufacturing,Medium,264,ChatGPT,2024,40,24.1,9.3,23474.99,34619.39,Low
1068,IT,Small,74,Gemini,2024,18,12.2,8.3,10262.62,16644.0,Low
1069,Finance,Small,218,ChatGPT,2025,61,16.1,8.1,24641.6,43211.12,Medium
1070,IT,Small,119,ChatGPT,2023,18,17.1,7.1,20191.51,23344.69,Low
1071,Finance,Medium,797,Power BI AI,2025,217,32.9,6.5,141472.85,204219.47,High
1072,Retail,Large,1193,Gemini,2024,219,29.2,7.1,134054.93,187382.72,High
1073,Finance,Small,96,Claude,2024,12,22.7,9.6,10758.17,16306.35,Low
1074,Healthcare,Medium,510,ChatGPT,2025,100,30.2,7.3,75556.64,123320.49,Medium
1075,Finance,Medium,668,ChatGPT,2025,233,34.1,6.9,102261.95,179657.71,High
1076,IT,Small,89,Claude,2022,29,30.7,9.0,14235.88,23882.01,Low
1077,IT,Small,127,GitHub Copilot,2023,46,19.8,9.2,15737.01,21463.1,Low
1078,Finance,Small,72,GitHub Copilot,2024,14,19.8,8.3,6239.66,7863.95,Low
1079,Finance,Medium,828,Gemini,2023,117,29.9,8.5,110410.58,190538.28,Medium
1080,Retail,Small,146,Claude,2024,20,15.1,8.9,18892.13,30761.01,Low
1081,IT,Medium,477,GitHub Copilot,2024,119,23.5,8.1,57667.16,94592.45,Medium
1082,IT,Medium,541,Claude,2024,188,34.0,7.6,55579.69,77618.03,Medium
1083,Healthcare,Medium,467,Gemini,2024,132,10.5,9.4,80889.92,120978.42,Medium
1084,Education,Large,2863,Gemini,2024,607,11.7,6.8,258885.91,437079.09,High
1085,Manufacturing,Small,150,Power BI AI,2025,20,33.0,9.4,19782.57,29948.69,Low
1086,Healthcare,Small,186,ChatGPT,2024,52,12.9,7.9,30941.44,54025.99,Medium
1087,Finance,Medium,596,GitHub Copilot,2023,140,13.5,7.1,77382.72,107813.31,Medium
1088,Manufacturing,Medium,312,ChatGPT,2023,51,22.9,9.7,39280.46,58532.35,Medium
1089,Manufacturing,Medium,609,GitHub Copilot,2024,73,28.7,7.2,103411.51,128602.32,Medium
1090,IT,Small,79,Midjourney,2024,14,27.9,8.2,10542.2,15146.63,Low
1091,Finance,Large,4715,ChatGPT,2025,1809,19.3,7.4,680845.78,943729.81,High
1092,IT,Small,227,Midjourney,2023,60,16.3,7.1,29635.03,44942.54,Medium
1093,Healthcare,Medium,300,Gemini,2023,38,16.1,8.9,49670.89,83504.41,Low
